track_id,track_genre
5SuOikwiRyPMVoIQDJUgSV,acoustic
4qPNDBW1i3p13qLCt0Ki3A,acoustic
1iJBSr7s7jYXzM8EGcbK5b,acoustic
6lfxq3CG4xtTiEg7opyCyx,acoustic
5vjLSffimiIP26QG5WcN2K,acoustic
01MVOl9KtVTNfFiBU9I7dc,acoustic
6Vc5wAMmXdKIAM7WUoEb7N,acoustic
1EzrEOXmMH3G43AXT1y7pA,acoustic
0IktbUcnAGrvD03AWnz3Q8,acoustic
7k9GuJYLp2AzqokyEdwEw2,acoustic
4mzP5mHkRvGxdhdGdAH7EJ,acoustic
5ivF4eQBqJiVL5IAE9jRyl,acoustic
4ptDJbJl35d7gQfeNteBwp,acoustic
0X9MxHR1rTkEHDjp95F2OO,acoustic
4LbWtBkN82ZRhz9jqzgrb3,acoustic
1KHdq8NK9QxnGjdXb55NiG,acoustic
6xKeQgzfjixSUld14qUezm,acoustic
4Yo0igmcoNyat1secaH0OD,acoustic
2qLMf6TuEC3ruGJg4SMMN6,acoustic
6CgNoAbFJ4Q4Id4EjtbXlC,acoustic
3S0OXQeoh0w6AY8WQVckRW,acoustic
210JCw2LbYD4YIs8GiZ9iP,acoustic
5TvE3pk05pyFIGdSY9j4DJ,acoustic
0BUuuEvNa5T4lMaewyiudB,acoustic
3Hn3LfhrQOaKihdCibJsTs,acoustic
6D33wCKzWtNEgOovgeVJ7r,acoustic
5IfCZDRXZrqZSm8AwE44PG,acoustic
0dzKBptH2P5j5a0MifBMwM,acoustic
5QAMZTM5cmLg3fHX9ZbTZi,acoustic
2qESE1ZeWly7I3YjyTXmXh,acoustic
3EQV1ZHtHvq9OnVRYIdbg3,acoustic
3ax0rfGb7exLtl02LL08U9,acoustic
1m5LC29RE52Bxy7hxvpOlL,acoustic
3H36x7buZdQD4687VmFrwY,acoustic
0xbMRcMFqxJq1Wa7tvWPtn,acoustic
6h061f44HZPj1OXO2nA45d,acoustic
62EwQLDw0dprDzuLwQ0sH1,acoustic
3lvo0I8c2qBJDLZWqExDgC,acoustic
1ae8XfBQ3fDEvmBjFaemGV,acoustic
0adVktNVJXPZfhQe6B1NO5,acoustic
6sp6Vx3sv2l5qxPfbQkcyt,acoustic
1WFVfVjCtbmdIv7j3Fa9iy,acoustic
0e5PAxSyZ5DWWVqKANHETz,acoustic
1MLr9b1fOybO3MGiLy47Ys,acoustic
6JGjevTaqr9J1xp7YvYUKF,acoustic
7Af2YlwMZryKOQiRfwMsD2,acoustic
3RE5nHIVkC4KcA7snFaTKd,acoustic
0JvkNRyq8Tmot9khpdtN0I,acoustic
27gHtbsHClwimHFtKgFop4,acoustic
1QBNBGeIRRGBnLhdlHbfI8,acoustic
72xTsTouZ5nBmASX8k1XCW,acoustic
3ILmwMefYZoQh5Cf5jeuUQ,acoustic
2DHDuADAHoUW6n0z80RLQF,acoustic
5JDcQAztvZTIkrWoZihgvC,acoustic
2sYFi9xVSZ56WHKSY2fN1K,acoustic
6xJOhSm4SvZwzy3uhWz26O,acoustic
7lLKxcNeJtDTWVRKHovLEC,acoustic
25UzeaV47eDT44Fovve6xQ,acoustic
4oa14QBfWRDfJy2agySy0L,acoustic
2gRKq9rIC5i1zuxp06zJWH,acoustic
08MFgEQeVLF37EyZ7jcwLc,acoustic
6nXIYClvJAfi6ujLiKqEq8,acoustic
7x4b0UccXSKBWxWmjcrG2T,acoustic
6owKuyHxUqidcAA6fPKSyy,acoustic
0wbmIfvndFV9VDvuUY1pYN,acoustic
3e5yu9MkIvQx17mm7LF6KY,acoustic
6VwAh8Z1d5YKoSWoEaV4db,acoustic
2D4BSm5Z8Hq5zYbSgJwEOh,acoustic
7LwGBxB0h0CVmkOZxYKn0g,acoustic
